"pid","meta_class","meta_town_code","meta_nbhd","meta_certified_est_bldg","meta_certified_est_land","meta_cdu","meta_deed_type","char_hd_sf","char_age","char_apts","char_ext_wall","char_roof_cnst","char_rooms","char_beds","char_bsmt","char_bsmt_fin","char_heat","char_oheat","char_air","char_frpl","char_attic_type","char_fbath","char_hbath","char_tp_plan","char_tp_dsgn","char_cnst_qlty","char_site","char_gar1_size","char_gar1_cnst","char_gar1_att","char_gar1_area","char_ot_impr","char_bldg_sf","char_repair_cnd","char_use","char_type_resd","char_attic_fnsh","char_renovation","char_porch","geo_property_city","geo_property_zip","geo_tract_pop","geo_white_perc","geo_black_perc","geo_asian_perc","geo_his_perc","geo_other_perc","geo_fips","geo_municipality","geo_ohare_noise","geo_floodplain","geo_fs_flood_factor","geo_fs_flood_risk_direction","geo_withinmr100","geo_withinmr101300","geo_school_elem_district","geo_school_hs_district","econ_tax_rate","econ_midincome","ind_large_home","ind_arms_length","predicted_sale_price"
859,"211","72","72350",160290,37500,"Unknown","W",3750,67,2,"3","1",8,4,1,1,"1",5,1,0,1,2,1,2,2,2,2,3,1,2,2,0,1611,2,"2",5,2,1,1,"CHICAGO","60638",3726,0.404723564143854,0.0112721417069243,0.00187869028448738,0.579441760601181,0.0026838432635534,"14000","Chicago",0,0,4,1,"Outside","Outside","TWAIN","KENNEDY HS",6.934,56452,"FALSE","TRUE",222066.71047619
860,"203","37","37061",76930,12600,"Unknown","W",3600,129,2,"2","1",5,2,1,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1080,2,"1",5,1,1,1,"CALUMET CITY","60409",2809,0.145247419010324,0.484514061943752,0,0.36062655749377,0.00961196155215379,"10487","Calumet City",0,0,6,1,"Outside","Outside","SCHOOL DISTRICT 156","THORNTON TWP FRACTIONAL HIGH SCHOOL 215",24.795,45809,"FALSE","TRUE",65516.4047997164
861,"202","71","71210",120800,34370,"Unknown","W",3125,63,2,"2","1",5,2,1,3,"1",5,2,0,3,1,1,2,2,2,2,3,1,2,2,0,864,2,"1",1,3,1,1,"CHICAGO","60639",2730,0.0146520146520147,0.524908424908425,0.00915750915750915,0.444322344322344,0.0139194139194139,"14000","Chicago",0,0,1,0,"Outside","Outside","LEWIS","FOREMAN HS",6.88477238239757,46250,"FALSE","TRUE",139926.857142857
862,"203","34","34040",213900,63450,"Unknown","W",9400,91,2,"2","1",8,4,1,1,"1",5,1,0,1,2,0,2,2,2,2,3,2,2,2,0,1786,2,"1",5,1,1,1,"LYONS","60534",5210,0.76679462571977,0.0261036468330134,0.0343570057581574,0.166986564299424,0.0115163147792706,"45434","Lyons",0,0,4,1,"Outside","Inside","SCHOOL DISTRICT 96","RIVERSIDE BROOKFIELD HIGH SCHOOL 208",12.545,91607,"FALSE","TRUE",312329.193424036
863,"202","19","19010",130230,46860,"Unknown","O",8520,96,2,"1","1",4,2,1,3,"1",5,1,0,3,1,0,2,2,2,2,4,1,2,2,0,768,2,"1",1,3,1,1,"LEMONT","60439",5663,0.88557301783507,0.0127141091294367,0.0337277061628112,0.0492671728765672,0.0374359879922303,"42795","Lemont",0,0,7,1,"Outside","Outside","COMBINED SCHOOL DISTRICT C.C. NO. 113A","LEMONT TOWNSHIP HIGH SCHOOL  210",7.932,106656,"FALSE","TRUE",193575.404761905
864,"205","20","20070",239290,51560,"Unknown","W",6250,80,2,"2","1",6,4,1,3,"1",5,2,1,3,1,1,2,2,2,2,1,1,2,2,0,1434,2,"1",2,3,1,1,"ELMWOOD PARK","60707",4125,0.783272727272727,0.0232727272727273,0.0664242424242424,0.112727272727273,0.0286060606060606,"23724","Elmwood Park",0,0,4,1,"Outside","Outside","SCHOOL DISTRICT UNIT  401","SCHOOL DISTRICT UNIT  401",10.001,80208,"FALSE","TRUE",319072.457142857
865,"295","77","77120",433820,39950,"Unknown","W",1175,25,2,"2","2",6,2,2,3,"1",5,1,1,3,2,1,2,2,2,2,2,2,1,1,0,1846,2,"1",3,3,1,1,"CHICAGO","60642",3584,0.613002232142857,0.222935267857143,0.0786830357142857,0.0594308035714286,0.0518973214285714,"14000","Chicago",0,0,7,1,"Outside","Outside","OGDEN","WELLS HS",6.89,104423,"FALSE","TRUE",481458.123537415
866,"203","71","71081",202850,72500,"Unknown","W",5000,109,2,"1","1",5,3,2,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1125,2,"1",1,3,1,1,"CHICAGO","60625",4822,0.207382828701783,0.0628369970966404,0.117378681045209,0.586478639568644,0.0518457071754459,"14000","Chicago",0,0,1,0,"Outside","Outside","HAUGAN","ROOSEVELT HS",6.90151661129568,51982,"FALSE","TRUE",272726.402278335
867,"234","13","13110",87380,15980,"Unknown","W",6394,19,2,"1","1",5,3,3,1,"1",5,1,0,3,1,1,2,2,2,2,4,1,1,2,0,1434,2,"1",4,3,1,1,"HARVEY","60426",7440,0.222177419354839,0.149596774193548,0.0200268817204301,0.58763440860215,0.0411290322580645,"33383","Harvey",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  143 1/2","COMMUNITY HIGH SCHOOL  228",22.305,46156,"FALSE","TRUE",68151.3646556123
868,"234","16","16100",227940,60930,"Unknown","T",9375,62,2,"2","1",5,2,3,1,"1",5,1,1,3,1,1,2,2,2,2,3,2,1,2,0,1495,2,"1",4,3,1,1,"MOUNT PROSPECT","60056",4832,0.895074503311258,0,0.00496688741721854,0.0933360927152318,0.0132450331125828,"51089","Mount Prospect",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  57","ARLINGTON HTS TWNSHP H S 214",9.405,102135,"FALSE","TRUE",336554.563945578
869,"234","21","21042",194850,41870,"Unknown","W",6700,61,2,"2","1",6,3,3,1,"1",5,1,0,1,1,1,2,2,2,2,3,1,2,2,0,1144,2,"1",4,3,1,1,"BROOKFIELD","60513",5372,0.505770662695458,0.124348473566642,0.0217795979151154,0.329486224869695,0.0238272524199553,"8576","Brookfield",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  102","LYONS TOWNSHIP HIGH SCHOOL  204",11.097,78571,"FALSE","TRUE",243625.150874225
870,"203","20","20020",126610,74180,"Unknown","T",11413,66,2,"2","1",6,3,1,1,"2",5,1,0,1,1,1,2,2,2,2,3,1,2,2,0,1232,2,"1",1,3,1,1,"SCHILLER PARK","60176",5464,0.730783308931186,0.0148243045387994,0.00951683748169839,0.199121522693997,0.0915080527086384,"68081","Schiller Park",1,0,1,0,"Outside","Inside","SCHOOL DISTRICT  81","COMMUNITY HIGH SCHOOL  212",10.802,58909,"FALSE","TRUE",202512.011710834
871,"203","38","38070",208600,39060,"Unknown","W",6250,61,2,"2","1",6,3,1,3,"1",5,1,1,3,1,0,2,2,2,2,1,2,1,2,0,1118,2,"1",1,3,1,1,"ARLINGTON HEIGHTS","60005",6159,0.893489202792661,0.0034096444227959,0.0461113817178113,0.0405910050332846,0.0232180548790388,"2154","Arlington Heights",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 25","ARLINGTON HTS TWNSHP H S 214",9.004,116667,"FALSE","TRUE",261821.64952381
872,"234","28","28045",202300,38180,"Unknown","T",7636,41,2,"2","1",6,3,3,1,"1",5,1,1,3,3,0,2,2,2,2,3,2,1,2,30,1628,2,"1",4,3,1,1,"TINLEY PARK","60487",9619,0.873583532591745,0.0106040128911529,0.04678240981391,0.0583220709013411,0.021415947603701,"75484","Tinley Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  140","CONSOLIDATED HIGH SCHOOL  230",11.122,97899,"FALSE","TRUE",299443.873634085
873,"234","22","22050",137890,100620,"Unknown","W",10062,59,2,"2","1",6,3,3,1,"1",5,1,0,3,2,1,2,2,2,2,2,1,2,2,0,1378,2,"1",4,3,1,1,"DES PLAINES","60016",8185,0.34208918753818,0.00586438607208307,0.518142944410507,0.128772144166158,0.0102626756261454,"19642","Unknown",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  63","MAINE TOWNSHIP HIGH SCHOOL  207",9.253,62859,"FALSE","TRUE",301644.791836735
874,"202","70","70130",76470,42180,"Unknown","T",4687,69,2,"2","1",5,2,1,3,"1",5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,864,2,"1",1,3,1,1,"CHICAGO","60617",5584,0.0164756446991404,0.961855300859599,0,0.0180873925501433,0.00716332378223495,"14000","Chicago",0,0,1,0,"Outside","Outside","EARHART","BOWEN HS",6.908,50426,"FALSE","TRUE",115639.440156786
875,"205","71","71110",514840,86400,"AV","W",3600,97,2,"2","1",7,3,3,3,"1",5,2,0,1,1,1,2,2,2,2,3,1,2,2,0,1930,2,"1",2,3,1,1,"CHICAGO","60625",6454,0.452277657266811,0.05159590951348,0.114967462039046,0.351719863650449,0.0565540749922529,"14000","Chicago",0,0,6,1,"Outside","Outside","WATERS","ROOSEVELT HS",6.90151661129568,71366,"FALSE","TRUE",621343.428571429
876,"205","71","71140",194740,62930,"Unknown","W",4340,80,2,"3","1",8,3,3,3,"1",5,2,0,3,1,1,2,2,2,2,3,2,2,2,139,1900,2,"1",2,3,1,1,"CHICAGO","60634",7328,0.599754366812227,0.0727347161572052,0.0549945414847162,0.26282751091703,0.0193777292576419,"14000","Chicago",0,0,1,0,"Outside","Outside","LOCKE, J","STEINMETZ COLLEGE PREP HS",6.894,75339,"FALSE","TRUE",281878.722364639
877,"205","75","75031",234930,58000,"Unknown","W",4000,122,2,"1","1",9,4,1,3,"2",5,1,0,2,2,0,2,2,2,2,3,1,2,2,0,1653,2,"1",2,1,1,1,"CHICAGO","60626",7039,0.324477908793863,0.368234124165364,0.0210257138798125,0.213098451484586,0.120897854808922,"14000","Chicago",0,0,1,0,"Outside","Outside","NEW FIELD","SULLIVAN HS",6.85780373831776,39549,"FALSE","TRUE",351538.986666667
878,"278","73","73120",948160,180000,"Unknown","T",3000,9,2,"1","1",7,3,1,1,"1",5,1,2,2,3,1,2,2,2,2,4,1,2,2,0,2440,2,"1",2,3,1,1,"CHICAGO","60657",2885,0.905025996533796,0.00277296360485268,0.0190641247833622,0.0509532062391681,0.0329289428076256,"14000","Chicago",0,0,1,0,"Outside","Outside","BURLEY","LAKE VIEW HS",6.89,168352,"FALSE","TRUE",1051998.87142857
879,"205","24","24081",224350,59990,"AV","W",6315,71,2,"3","1",6,4,1,1,"2",5,2,1,3,1,1,2,2,2,2,1,1,1,2,0,1654,2,"1",2,3,1,1,"SKOKIE","60076",5224,0.462480857580398,0.121171516079632,0.27833078101072,0.0842266462480858,0.107580398162328,"70122","Skokie",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  65","EVANSTON TOWNSHIP HIGH SCHOOL  202",7.906,92547,"FALSE","TRUE",339883.368027211
880,"295","13","13171",130060,23500,"Unknown","W",2000,48,2,"3","1",6,3,3,3,"1",5,1,0,3,2,1,2,2,2,2,3,3,1,2,121,1635,2,"1",2,3,1,1,"TINLEY PARK","60477",4291,0.784898625029131,0.0209741319039851,0.0393847587974831,0.141225821486833,0.018410626893498,"75484","Tinley Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  146","COMMUNITY HIGH SCHOOL  228",14.44,61774,"FALSE","TRUE",147341.313333333
881,"205","20","20070",252420,41250,"GD","W",5000,78,2,"1","1",7,3,1,3,"1",5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1382,2,"1",2,3,1,1,"ELMWOOD PARK","60707",4125,0.783272727272727,0.0232727272727273,0.0664242424242424,0.112727272727273,0.0286060606060606,"23724","Elmwood Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT UNIT  401","SCHOOL DISTRICT UNIT  401",10.001,80208,"FALSE","TRUE",309697.977591036
882,"295","35","35109",127700,28350,"Unknown","W",1800,49,2,"3","1",6,3,3,1,"1",5,1,1,3,1,1,2,2,2,2,1,1,1,2,0,1300,2,"1",2,3,1,1,"SCHAUMBURG","60194",4828,0.4496685998343,0.0356255178127589,0.374067937033969,0.118889809444905,0.0376967688483844,"68003","Schaumburg",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C 54","PALATINE TOWNSHIP HIGH SCHOOL  211",9.176,95527,"FALSE","TRUE",161227.69047619
883,"211","72","72330",96370,21680,"Unknown","W",3942,55,2,"1","1",7,4,2,3,"1",5,2,0,3,2,0,2,2,2,2,7,1,2,2,0,2688,2,"2",2,3,1,1,"CHICAGO","60628",5973,0.00150678051230537,0.967520508956973,0,0.00719906244768123,0.0475472961660807,"14000","Chicago",0,0,1,0,"Outside","Outside","METCALFE","FENGER HS",6.908,39231,"FALSE","TRUE",75184.3666666667
884,"203","25","25023",280400,126000,"Unknown","W",12000,63,2,"2","1",7,3,3,3,"1",5,1,1,2,1,1,2,2,2,2,3,2,1,2,0,1766,2,"1",1,3,1,1,"NORTHBROOK","60062",6242,0.864626722204422,0.0541493111182313,0.0608779237423903,0.00833066324895866,0.0193848125600769,"53481","Northbrook",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 28","NORTHFIELD TOWNSHIP HIGH SCHOOL  225",7.43,103548,"FALSE","TRUE",397928.704761905
885,"204","18","18050",164880,52730,"Unknown","T",12408,103,2,"1","1",7,3,1,3,"1",5,1,0,1,2,0,2,2,2,2,3,1,1,2,0,2150,2,"1",5,1,2,1,"BARTLETT","60103",3386,0.689308919078559,0.0401653868871825,0.03248670998228,0.219728292971057,0.0333727111636149,"4013","Bartlett",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 46","SCHOOL DISTRICT 46",11.245,67907,"FALSE","TRUE",239974.166666667
886,"203","12","12162",24170,19870,"Unknown","O",6624,51,2,"1","1",7,4,2,3,"1",5,2,0,3,1,0,2,2,2,2,1,1,2,2,0,1264,2,"1",1,3,1,1,"SAUK VILLAGE","60411",6277,0.195953480962243,0.662577664489406,0.0031862354628007,0.0920822048749403,0.086187669268759,"67769","Sauk Village",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  168","BLOOM TOWNSHIP HIGH SCHOOL  206",15.233,45625,"FALSE","TRUE",36911.8976320123
887,"202","13","13060",44700,28600,"Unknown","W",14300,63,2,"1","1",6,4,4,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,720,2,"1",1,3,1,1,"MARKHAM","60428",3301,0.180854286579824,0.704937897606786,0.0039382005452893,0.0999697061496516,0.0205998182368979,"47007","Markham",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  144","COMMUNITY HIGH SCHOOL  228",25.301,34000,"FALSE","TRUE",52229.5796358802
888,"234","21","21042",196600,39370,"Unknown","T",6300,53,2,"2","1",5,3,3,1,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1008,2,"1",4,3,1,1,"BROOKFIELD","60513",2804,0.639087018544936,0.0641940085592011,0.0178316690442225,0.276390870185449,0.00499286733238231,"8576","Brookfield",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  102","LYONS TOWNSHIP HIGH SCHOOL  204",11.097,75639,"FALSE","TRUE",260686.502451219
889,"203","70","70240",83390,24180,"Unknown","W",3720,67,2,"2","1",5,3,1,3,"1",5,1,0,3,1,0,2,2,2,2,3,3,2,2,0,1209,2,"1",1,3,1,1,"CHICAGO","60617",2809,0.227839088643645,0,0.0110359558561766,0.761124955500178,0,"14000","Chicago",0,0,1,0,"Outside","Outside","WASHINGTON, G","WASHINGTON HS",6.908,44738,"FALSE","TRUE",94019.5278329528
890,"203","13","13170",128930,31920,"Unknown","W",7980,64,2,"2","1",5,3,4,3,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,1200,2,"1",1,3,1,1,"TINLEY PARK","60477",5099,0.811531672877035,0.0539321435575603,0.0194155716807217,0.115120611884683,0,"75484","Tinley Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  146","COMMUNITY HIGH SCHOOL  228",14.44,63191,"FALSE","TRUE",168450.099159664
891,"204","21","21061",1358120,217370,"Unknown","T",18500,37,2,"3","4",12,5,3,3,"1",5,1,2,1,4,1,2,2,2,2,6,2,1,1,134,4936,1,"1",5,1,1,1,"HINSDALE","60521",2196,0.693533697632058,0.00774134790528233,0.193533697632058,0.0965391621129326,0.017304189435337,"35307","Hinsdale",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C  181","HINSDALE TOWNSHIP HIGH SCHOOL  86",7.213,218000,"FALSE","TRUE",1666883.41142857
892,"211","73","73081",553600,175000,"Unknown","W",3125,95,4,"2","2",16,8,1,3,"2",5,2,0,3,4,0,2,2,2,2,3,1,2,2,0,3602,2,"2",2,3,1,1,"CHICAGO","60657",2826,0.830856334041047,0.0307855626326964,0.0403397027600849,0.0654635527246992,0.0651096956829441,"14000","Chicago",0,0,3,1,"Outside","Outside","JAHN","LAKE VIEW HS",6.89,178750,"FALSE","TRUE",1069815.32380952
893,"203","25","25011",246980,86080,"Unknown","W",11478,65,2,"1","6",6,3,4,3,"1",5,2,0,1,1,0,2,2,2,2,3,1,1,2,0,1430,2,"1",5,1,1,1,"GLENVIEW","60025",5365,0.787511649580615,0.0221808014911463,0.104566635601118,0.0615097856477167,0.0410065237651445,"29938","Glenview",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C 34","NORTHFIELD TOWNSHIP HIGH SCHOOL  225",7.153,118542,"FALSE","TRUE",372502.013333333
894,"203","31","31141",210290,38400,"Unknown","W",6400,65,2,"2","1",5,2,2,3,"1",5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1476,2,"1",1,3,1,1,"LA GRANGE PARK","60526",4521,0.774828577748286,0.0411413404114134,0.0210130502101305,0.14200398142004,0.042026100420261,"40793","La Grange Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  102","LYONS TOWNSHIP HIGH SCHOOL  204",9.766,77711,"FALSE","TRUE",275991.723602485
895,"202","72","72282",42200,31170,"Unknown","W",4156,94,2,"2","1",5,2,1,1,"1",5,2,0,3,1,0,2,2,2,2,3,1,2,2,0,875,2,"1",1,3,1,1,"CHICAGO","60620",2559,0,0.970691676436108,0,0.0230558812035952,0.0101602188354826,"14000","Chicago",0,0,1,0,"Outside","Outside","RYDER","HARLAN HS",6.908,47022,"FALSE","TRUE",64227.5285849607
896,"234","37","37092",102590,32400,"Unknown","W",7200,49,2,"1","1",7,3,3,1,"1",5,1,0,3,1,0,2,2,2,2,3,1,1,2,0,1183,2,"1",4,3,1,1,"SOUTH HOLLAND","60473",5023,0.18793549671511,0.743181365717699,0.00179175791359745,0.0631096954011547,0.00676886322914592,"70850","South Holland",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  151","THORNTON TOWNSHIP HIGH SCHOOL  205",20.024,59213,"FALSE","TRUE",162669.035505375
897,"204","70","70111",67680,128150,"AV","O",16019,64,2,"2","1",9,5,3,1,"1",5,2,1,3,2,0,2,2,2,2,3,2,1,2,0,2645,2,"1",1,3,1,1,"CHICAGO","60619",2707,0.00738825267824159,0.907277428888068,0,0.0709272257111193,0.0288141854451422,"14000","Chicago",0,0,2,1,"Outside","Outside","RUGGLES","ROBESON HS",6.88386464826358,39853,"FALSE","TRUE",202410.457728938
898,"211","77","77102",95660,25850,"Unknown","O",2200,111,2,"2","2",8,4,1,3,"1",5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,1932,2,"2",2,3,1,1,"CHICAGO","60624",1488,0.0551075268817204,0.885752688172043,0,0.0571236559139785,0.00403225806451612,"14000","Chicago",0,0,1,0,"Outside","Outside","GREGORY","MANLEY HS",6.913,28750,"FALSE","TRUE",86985.8719047619
899,"202","38","38080",166870,45370,"Unknown","W",7260,70,2,"1","1",5,2,1,3,"1",5,2,0,1,1,0,2,2,2,2,7,1,2,2,0,833,2,"1",1,3,1,1,"MOUNT PROSPECT","60056",6479,0.761228584658126,0.032258064516129,0.0839635746257138,0.115295570304059,0.0100324124093224,"51089","Mount Prospect",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  57","ARLINGTON HTS TWNSHP H S 214",9.385,102045,"FALSE","TRUE",263011.885820422
900,"211","72","72092",86980,56870,"AV","W",8750,129,6,"2","2",30,12,1,3,"2",5,2,0,3,6,0,2,2,2,2,7,1,2,2,0,7182,2,"2",3,3,1,1,"CHICAGO","60621",2454,0.0358598207008965,0.948247758761206,0,0.00407497962510187,0.0211898940505297,"14000","Chicago",0,0,1,0,"Outside","Outside","PARKER","ROBESON HS",6.89,17310,"FALSE","TRUE",213133.535714286
901,"278","25","25210",479060,134250,"Unknown","W",11674,38,2,"2","4",9,5,1,3,"1",5,1,1,3,2,1,2,2,1,2,3,2,1,2,0,3291,1,"1",2,3,1,1,"GLENVIEW","60026",5278,0.628268283440697,0.00227358848048503,0.316407730200834,0.0449033724895794,0.0162940507768094,"29938","Glenview",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 31","NORTHFIELD TOWNSHIP HIGH SCHOOL  225",7.219,84022,"FALSE","TRUE",634526.348095238
902,"211","77","77091",64020,45530,"Unknown","W",3875,117,2,"1","1",7,4,2,3,"1",5,2,0,3,2,0,2,2,2,2,1,1,2,2,0,2578,2,"2",2,3,1,1,"CHICAGO","60623",2705,0.0432532347504621,0.835859519408503,0.00258780036968576,0.113493530499076,0.0077634011090573,"14000","Chicago",0,0,1,0,"Outside","Outside","DVORAK TECH ACAD","FARRAGUT HS",6.913,32237,"FALSE","TRUE",146778.762539412
903,"203","72","72330",80440,25030,"Unknown","W",4551,66,2,"2","1",5,3,1,1,"1",5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1085,2,"1",1,3,1,1,"CHICAGO","60628",5973,0.00150678051230537,0.967520508956973,0,0.00719906244768123,0.0475472961660807,"14000","Chicago",0,0,1,0,"Outside","Outside","OWENS","FENGER HS",6.908,39231,"FALSE","TRUE",78857.1820068027
904,"204","24","24023",501790,233100,"AV","W",38850,69,2,"2","1",7,4,1,1,"1",5,2,1,2,2,1,2,2,2,2,3,2,1,2,0,3108,2,"1",1,3,1,2,"GOLF","60029",2104,0.921102661596958,0.000475285171102662,0.0332699619771863,0.0342205323193916,0.0199619771863118,"30328","Golf",0,0,1,0,"Outside","Inside","SCHOOL DISTRICT C C 34","NORTHFIELD TOWNSHIP HIGH SCHOOL  225",8.182,170313,"FALSE","TRUE",889573.316666667
905,"295","32","32310",92280,21630,"Unknown","O",5409,19,2,"3","1",6,3,1,3,"1",5,1,1,3,2,1,2,2,2,2,3,2,1,1,0,1455,2,"1",2,3,1,1,"RICHTON PARK","60471",4415,0.0588901472253681,0.876104190260476,0.0115515288788222,0.0144960362400906,0.0758776896942242,"63706","Richton Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 159","RICH TOWNSHIP HIGH SCHOOL  227",19.051,86160,"FALSE","TRUE",103860.404761905
906,"203","73","73041",380350,150000,"Unknown","W",3125,116,2,"1","1",6,3,1,3,"2",5,2,0,1,1,1,2,2,2,2,3,1,2,2,0,1254,2,"1",5,1,1,1,"CHICAGO","60618",5431,0.81918615356288,0.0117842018044559,0.0366415024857301,0.0789909777204935,0.102191125023016,"14000","Chicago",0,0,6,1,"Outside","Inside","COONLEY","AMUNDSEN HS",6.89,85671,"FALSE","TRUE",621085.077142857
907,"203","71","71082",191570,68750,"Unknown","O",3125,100,2,"1","1",5,3,1,3,"2",5,2,0,1,1,0,2,2,2,2,3,1,2,2,0,1200,2,"1",5,1,1,1,"CHICAGO","60618",3870,0.243410852713178,0.0627906976744186,0.127390180878553,0.536175710594315,0.048578811369509,"14000","Chicago",0,0,5,1,"Outside","Outside","HENRY","ROOSEVELT HS",6.90151661129568,56190,"FALSE","TRUE",253673.973727918
908,"203","39","39100",132290,56250,"Unknown","W",9375,80,2,"3","1",6,3,1,1,"1",5,1,1,2,2,0,2,2,2,2,3,1,2,2,0,1656,2,"1",5,1,1,1,"EVERGREEN PARK","60805",5352,0.568759342301943,0.252989536621824,0.000186846038863976,0.165732436472347,0.0239162929745889,"24634","Evergreen Park",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  124","COMMUNITY HIGH SCHOOL  231",13.318,71316,"FALSE","TRUE",192571.045238095
909,"207","35","35075",254540,53170,"Unknown","W",6256,36,2,"1","1",7,3,1,1,"1",5,1,1,2,1,1,2,2,2,2,3,1,1,1,17,1798,2,"1",2,3,1,1,"ELK GROVE VILLAGE","60007",7151,0.733463851209621,0.0146832610823661,0.151027828275766,0.0815270591525661,0.0385960005593623,"23256","Elk Grove Village",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C 54","PALATINE TOWNSHIP HIGH SCHOOL  211",9.575,104968,"FALSE","TRUE",341222.380952381
910,"205","72","72150",84460,35280,"Unknown","W",4410,107,2,"1","1",8,4,1,1,"1",5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2016,2,"1",2,3,1,1,"CHICAGO","60629",5157,0.00523560209424083,0.857669187512119,0.00174520069808027,0.123715338375024,0.0232693426410704,"14000","Chicago",0,0,1,0,"Outside","Outside","MCKAY","GAGE PARK HS",6.934,31310,"FALSE","TRUE",128996.447580812
911,"211","77","77170",642530,142180,"Unknown","O",3125,129,4,"2","1",16,8,1,2,"2",5,2,0,3,4,0,2,2,2,2,3,1,2,2,0,3658,2,"2",2,3,1,1,"CHICAGO","60622",2001,0.602198900549725,0.0119940029985007,0.0939530234882559,0.230884557721139,0.121939030484758,"14000","Chicago",0,0,4,1,"Outside","Outside","BURR","WELLS HS",6.915,104954,"FALSE","TRUE",932505.054761905
912,"295","35","35109",129600,28350,"Unknown","W",1800,44,2,"1","1",6,3,2,3,"1",5,1,0,3,1,1,2,2,2,2,1,1,1,1,33,1686,2,"1",3,3,1,1,"SCHAUMBURG","60194",5336,0.60832083958021,0.0569715142428786,0.177848575712144,0.131746626686657,0.0438530734632684,"68003","Schaumburg",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT C C 54","PALATINE TOWNSHIP HIGH SCHOOL  211",9.176,95949,"FALSE","TRUE",158342.728571429
913,"278","72","72040",323270,37250,"Unknown","W",3725,3,2,"2","1",9,4,2,3,"1",5,1,0,3,3,0,2,2,2,2,7,1,2,2,0,2604,2,"1",2,3,1,1,"CHICAGO","60632",4712,0.0889219015280136,0.00106112054329371,0.121179966044143,0.78883701188455,0,"14000","Chicago",0,0,5,0,"Outside","Outside","DAVIS, N","CURIE HS",6.87331719128329,41167,"FALSE","TRUE",309738.79047619
914,"234","13","13340",62930,16680,"Unknown","W",8340,61,2,"1","1",5,3,3,1,"1",5,2,0,3,1,0,2,2,2,2,7,1,2,2,0,1036,2,"1",4,3,1,1,"MARKHAM","60428",3301,0.180854286579824,0.704937897606786,0.0039382005452893,0.0999697061496516,0.0205998182368979,"47007","Markham",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  143","COMMUNITY HIGH SCHOOL  228",22.507,34000,"FALSE","TRUE",44927.871377551
915,"202","12","12141",6560,59710,"Unknown","W",19906,97,2,"1","1",4,2,2,3,"1",5,2,0,3,1,0,2,2,2,2,7,1,2,2,0,936,2,"1",1,3,1,1,"SOUTH CHICAGO HEIGHTS","60411",4105,0.368818514007308,0.146406820950061,0,0.463824604141291,0.0399512789281364,"70629","South Chicago Heights",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT  194","BLOOM TOWNSHIP HIGH SCHOOL  206",13.152,38082,"FALSE","TRUE",127601.015714286
916,"234","24","24051",269740,59440,"Unknown","W",7205,60,2,"2","1",7,3,3,1,"1",5,1,1,3,1,1,2,2,2,2,7,1,2,2,0,1415,2,"1",4,3,1,1,"SKOKIE","60076",4064,0.56865157480315,0.0684055118110236,0.241141732283465,0.0506889763779527,0.142224409448819,"70122","Skokie",0,0,1,0,"Outside","Outside","SCHOOL DISTRICT 68","COMMUNITY HIGH SCHOOL  219",8.449,63580,"FALSE","TRUE",324912.015873016
